anchor,positive,negative
"Địa chỉ của Trường Đại học Mỏ - Địa chất?","Địa chỉ là 18 Phố Viên, Đông Ngạc, Bắc Từ Liêm, Hà Nội.","Địa chỉ là tại xã Đình Tổ, Bắc Ninh."
"Số điện thoại liên hệ là gì?","Số điện thoại là 02438389633.","Số điện thoại là 0123456789."
"Trường trực thuộc Bộ nào?","Trường trực thuộc Bộ Giáo dục và Đào tạo.","Trường trực thuộc Bộ Tài nguyên và Môi trường."
"Website chính thức của trường?","Website chính thức là humg.edu.vn.","Website chính thức là humg.org.vn."
"Trường đào tạo về lĩnh vực gì?","Trường đào tạo khoa học trái đất, mỏ, kỹ thuật, kinh tế.","Trường chỉ đào tạo về ngành mỏ."
"Trường đã đào tạo bao nhiêu nhân lực?","Đã đào tạo hàng vạn kỹ sư, cử nhân, thạc sĩ, tiến sĩ.","Đã đào tạo vài nghìn nhân lực kỹ thuật."
"Đội ngũ giảng dạy hiện nay có bao nhiêu giáo sư?","Hiện có bốn giáo sư, 50 phó giáo sư.","Hiện có mười giáo sư và 30 phó giáo sư."
"Số lượng tiến sĩ của trường là bao nhiêu?","Trường hiện có 199 tiến sĩ.","Trường có 500 tiến sĩ."
"Số lượng thạc sĩ là bao nhiêu?","Trường hiện có 284 thạc sĩ.","Trường hiện có 500 thạc sĩ."
"Trường đóng góp gì cho xã hội?","Đóng góp nguồn nhân lực chất lượng cao cho phát triển kinh tế.","Chủ yếu tập trung vào đào tạo lý thuyết."
"Trường đã đào tạo bao nhiêu nhân lực?","Đã đào tạo hàng vạn kỹ sư,cử nhân,thạc sĩ,tiến sĩ.","Đã đào tạo vài nghìn nhân lực kỹ thuật."
"Đội ngũ giảng dạy hiện nay có bao nhiêu giáo sư?","Hiện có bốn giáo sư,50 phó giáo sư.","Hiện có mười giáo sư và 30 phó giáo sư."
"Trường đào tạo bao nhiêu ngành đại học?","Trường đào tạo 42 ngành đại học.","Trường chỉ đào tạo 10 ngành đại học."
"Số lượng ngành đào tạo thạc sĩ là bao nhiêu?","Trường đào tạo 20 ngành thạc sĩ.","Trường không đào tạo thạc sĩ."
"Trường đào tạo bao nhiêu ngành tiến sĩ?","Trường đào tạo 14 ngành tiến sĩ.","Trường chỉ đào tạo 5 ngành tiến sĩ."
"Trường có bao nhiêu tiến sĩ trong đội ngũ giảng dạy?","Trường có 199 tiến sĩ.","Trường có 500 tiến sĩ."
"Trường có bao nhiêu thạc sĩ trong đội ngũ giảng dạy?","Trường có 284 thạc sĩ.","Trường có 50 thạc sĩ."
"Trường triển khai bao nhiêu đề tài nghiên cứu mỗi năm?","Trường triển khai hàng trăm đề tài nghiên cứu khoa học cấp nhà nước và cấp bộ.","Trường chỉ triển khai 10 đề tài mỗi năm."
